Tempo;Ocupação;E[N];E[W];Erro Little;Lambda
100;0;0;-nan;-nan;0
200;0,246558;0,398936;39,893588;0;0,01
300;0,494743;0,6103;91,545024;0;0,006667
400;0,555065;0,550923;55,092286;-2,2204E-16;0,01
500;0,558866;0,581619;48,46824;-3,3307E-16;0,012
600;0,606183;0,839358;55,95722;1,1102E-16;0,015
700;0,718839;0,942176;65,952316;-3,3307E-16;0,014286
800;0,810734;1,025468;82,037423;-4,4409E-16;0,0125
900;0,720652;1,022638;92,037423;-4,4409E-16;0,011111
1000;0,726852;1,03106;85,921662;0;0,012
1100;0,677729;0,958476;87,860267;2,2204E-16;0,010909
1200;0,635793;0,881486;81,367915;-3,3307E-16;0,010833
1300;0,586886;0,824441;82,444112;0;0,01
1400;0,544965;0,765552;82,444112;0;0,009286
1500;0,593593;0,726044;72,604427;-4,4409E-16;0,01
1600;0,556493;0,805667;85,937761;-2,2204E-16;0,009375
1700;0,608824;0,881651;93,675401;1,1102E-16;0,009412
1800;0,703169;0,922334;97,658856;-1,1102E-16;0,009444
1900;0,66616;0,939225;99,140463;6,6613E-16;0,009474
2000;0,635232;0,98751;109,723385;1,22125E-15;0,009
2100;0,728114;0,977035;102,588628;-8,8818E-16;0,009524
2200;0,695018;1,023533;112,588628;-8,8818E-16;0,009091
2300;0,664799;1,126926;117,815016;-1,11022E-15;0,009565
2400;0,687534;1,212019;121,201928;-1,33227E-15;0,01
2500;0,820367;1,271932;127,19318;0;0,01
2600;0,788815;1,346042;124,989611;-1,33227E-15;0,010769
2700;0,759599;1,486213;138,37152;6,6613E-16;0,010741
2800;0,732471;1,676468;151,422954;0;0,011071
2900;0,742989;1,867626;174,71343;6,6613E-16;0,01069
3000;0,825462;2,001949;187,682692;2,22045E-15;0,010667
3100;0,798834;2,127569;193,984267;2,66454E-15;0,010968
3200;0,773871;2,326036;195,876699;3,9968E-15;0,011875
3300;0,768583;2,564721;222,725796;3,10862E-15;0,011515
3400;0,787839;2,662104;238,188243;3,55271E-15;0,011176
3500;0,789715;2,795194;232,932808;3,9968E-15;0,012
3600;0,808199;2,950618;236,049479;8,8818E-16;0,0125
3700;0,814328;3,081925;253,402735;8,8818E-16;0,012162
3800;0,886144;3,180926;268,611492;4,4409E-16;0,011842
3900;0,863422;3,25321;281,944825;-1,33227E-15;0,011538
4000;0,841836;3,321879;295,278158;-8,8818E-16;0,01125
4100;0,821304;3,387199;308,611492;-8,8818E-16;0,010976
4200;0,83276;3,43482;320,583183;-3,10862E-15;0,010714
4300;0,821797;3,487453;312,417621;-1,33227E-15;0,011163
4400;0,831869;3,528441;323,440398;-8,8818E-16;0,010909
4500;0,840458;3,539434;331,82192;-4,88498E-15;0,010667
4600;0,825171;3,477091;326,420824;-4,44089E-15;0,010652
4700;0,906976;3,425464;315,679985;-2,22045E-15;0,010851
4800;0,888081;3,394024;313,294503;-1,77636E-15;0,010833
4900;0,869957;3,365574;317,140657;-1,77636E-15;0,010612
5000;0,852558;3,338263;320,986811;-8,8818E-16;0,0104
5100;0,841295;3,311933;318,695436;-1,77636E-15;0,010392
5200;0,828846;3,253127;313,264077;-3,10862E-15;0,010385
5300;0,820143;3,198683;308,236698;-8,8818E-16;0,010377
5400;0,805556;3,140049;302,790423;-2,22045E-15;0,01037
5500;0,82067;3,093249;288,353679;6,66134E-15;0,010727
5600;0,806015;3,060834;285,677881;8,43769E-15;0,010714
5700;0,806261;3,028653;283,005248;8,88178E-15;0,010702
5800;0,823949;2,993472;280,034513;9,32587E-15;0,01069
5900;0,809983;2,957039;281,39569;8,43769E-15;0,010508
6000;0,796484;2,907755;281,39569;8,43769E-15;0,010333
6100;0,806719;2,873042;278,183386;5,77316E-15;0,010328
6200;0,793708;2,836874;279,184432;3,10862E-15;0,010161
6300;0,788606;2,799341;275,560092;3,10862E-15;0,010159
6400;0,776284;2,755601;275,560092;2,66454E-15;0,01
6500;0,764341;2,713207;275,560092;2,66454E-15;0,009846
6600;0,756703;2,675935;271,710357;8,8818E-16;0,009848
6700;0,745409;2,6361;271,721053;4,4409E-16;0,009701
6800;0,734447;2,597334;271,721053;0;0,009559
6900;0,728501;2,56439;268,095294;4,4409E-16;0,009565
7000;0,749655;2,534465;260,900847;-8,8818E-16;0,009714
7100;0,739096;2,549067;254,90674;8,8818E-16;0,01
7200;0,744567;2,588048;258,804814;1,77636E-15;0,01
7300;0,752861;2,62203;262,202962;3,9968E-15;0,01
7400;0,742688;2,654164;269,052277;0;0,009865
7500;0,758404;2,667676;274,076333;3,10862E-15;0,009733
7600;0,748425;2,670566;274,274392;8,88178E-15;0,009737
7700;0,751443;2,66459;269,965089;1,77636E-15;0,00987
7800;0,760338;2,665423;270,003858;-4,4409E-16;0,009872
7900;0,794174;2,665004;273,422527;-3,9968E-15;0,009747
8000;0,784247;2,656692;276,01993;-3,9968E-15;0,009625
8100;0,774565;2,653865;275,593718;-8,88178E-15;0,00963
8200;0,765119;2,660754;276,179481;-7,99361E-15;0,009634
8300;0,772102;2,665633;280,060164;-3,55271E-15;0,009518
8400;0,772184;2,662595;283,111394;-2,22045E-15;0,009405
8500;0,787205;2,648798;281,434772;-3,55271E-15;0,009412
8600;0,778052;2,633963;276,244909;-3,10862E-15;0,009535
8700;0,790817;2,633637;272,769591;-5,32907E-15;0,009655
8800;0,78183;2,635203;272,820974;-4,88498E-15;0,009659
8900;0,782885;2,623031;268,333042;-7,54952E-15;0,009775
9000;0,793126;2,606998;269,689446;-7,54952E-15;0,009667
9100;0,785754;2,588949;267,720904;-1,199041E-14;0,00967
9200;0,777213;2,561269;267,769015;-6,66134E-15;0,009565
9300;0,787145;2,548975;260,499667;4,4409E-16;0,009785
9400;0,780626;2,541884;262,568238;3,9968E-15;0,009681
9500;0,772408;2,515725;262,630608;3,55271E-15;0,009579
9600;0,764363;2,489519;262,630608;3,55271E-15;0,009479
9700;0,7789;2,470957;260,52485;-4,4409E-16;0,009485
9800;0,770952;2,462434;259,482308;-5,32907E-15;0,00949
9900;0,778756;2,452566;261,079582;-9,32587E-15;0,009394
10000;0,770968;2,442595;259,850547;-7,54952E-15;0,0094
10100;0,774037;2,444318;251,914406;-8,88178E-15;0,009703
10200;0,784902;2,457628;253,210117;-1,509903E-14;0,009706
10300;0,786617;2,478646;255,300587;-1,376677E-14;0,009709
10400;0,783073;2,498719;257,293813;-1,687539E-14;0,009712
10500;0,795524;2,507033;260,632161;-1,64313E-14;0,009619
10600;0,788019;2,511684;263,602458;-1,64313E-14;0,009528
10700;0,797764;2,506813;265,573308;-6,21725E-15;0,009439
10800;0,790377;2,499618;262,095871;-9,32587E-15;0,009537
10900;0,79363;2,497722;264,322027;-8,43769E-15;0,00945
11000;0,787947;2,484508;265,335825;-7,10543E-15;0,009364
11100;0,7895;2,463201;262,899342;-6,66134E-15;0,009369
11200;0,785143;2,458648;254,970933;5,77316E-15;0,009643
11300;0,782917;2,454122;254,418154;1,865175E-14;0,009646
11400;0,782965;2,438875;250,479029;1,687539E-14;0,009737
11500;0,784819;2,435457;250,069205;2,131628E-14;0,009739
11600;0,785756;2,425595;251,222332;1,909584E-14;0,009655
11700;0,77904;2,406444;251,387436;2,398082E-14;0,009573
11800;0,785917;2,393373;247,735086;2,131628E-14;0,009661
11900;0,787397;2,398183;246,020544;1,64313E-14;0,009748
12000;0,786525;2,409952;245,079841;8,88178E-15;0,009833
12100;0,785639;2,424861;246,561456;-2,66454E-15;0,009835
12200;0,786306;2,425981;246,641441;-1,376677E-14;0,009836
12300;0,784309;2,41518;243,497684;-1,776357E-14;0,009919
12400;0,777984;2,395703;243,497684;-1,776357E-14;0,009839
12500;0,772814;2,377591;241,625141;-2,708944E-14;0,00984
12600;0,766681;2,358722;241,625141;-2,664535E-14;0,009762
12700;0,764459;2,341199;239,78404;-2,087219E-14;0,009764
12800;0,76374;2,345829;234,582911;-2,975398E-14;0,01
12900;0,769907;2,335579;235,38262;-2,975398E-14;0,009922
13000;0,763985;2,322098;235,838039;-3,108624E-14;0,009846
13100;0,758153;2,304372;235,838039;-3,108624E-14;0,009771
13200;0,752409;2,286914;235,838039;-3,064216E-14;0,009697
13300;0,750853;2,270303;234,07005;-3,108624E-14;0,009699
13400;0,755568;2,263442;229,773696;-3,508305E-14;0,009851
13500;0,751439;2,26779;231,933079;-2,930989E-14;0,009778
13600;0,75698;2,262347;229,611294;-3,952394E-14;0,009853
13700;0,769951;2,257173;230,770698;-3,774758E-14;0,009781
13800;0,764372;2,248063;231,516967;-3,774758E-14;0,00971
13900;0,758873;2,245671;231,220951;-3,730349E-14;0,009712
14000;0,760922;2,239567;228,860908;-3,552714E-14;0,009786
14100;0,756786;2,226837;227,52464;-3,153033E-14;0,009787
14200;0,761006;2,213155;222,885065;-3,819167E-14;0,00993
14300;0,755684;2,215245;221,52447;-4,041212E-14;0,01
14400;0,760163;2,221906;222,190557;-3,552714E-14;0,01
14500;0,790238;2,233871;221,857082;-4,041212E-14;0,010069
14600;0,784826;2,245968;224,596808;-4,840572E-14;0,01
14700;0,779487;2,263065;226,306456;-3,641532E-14;0,01
14800;0,77422;2,285534;228,553394;-2,087219E-14;0,01
14900;0,769024;2,318094;230,263993;-5,77316E-15;0,010067
15000;0,769822;2,359449;234,38238;-5,32907E-15;0,010067
15100;0,77317;2,394061;237,831109;-3,9968E-15;0,010066
15200;0,775328;2,433122;241,721896;4,44089E-15;0,010066
15300;0,777472;2,482598;243,485587;2,664535E-14;0,010196
15400;0,772424;2,533128;248,472436;3,064216E-14;0,010195
15500;0,781464;2,585138;253,605321;1,865175E-14;0,010194
15600;0,776455;2,641167;257,513791;8,43769E-15;0,010256
15700;0,783661;2,698093;264,750362;9,32587E-15;0,010191
15800;0,778701;2,750637;271,625362;8,88178E-15;0,010127
15900;0,780543;2,791732;277,428361;1,598721E-14;0,010063
16000;0,781469;2,823812;278,895009;2,04281E-14;0,010125
16100;0,782971;2,857243;280,49761;2,4869E-14;0,010186
16200;0,786035;2,885937;283,346576;1,865175E-14;0,010185
16300;0,788286;2,907535;287,229232;2,531308E-14;0,010123
16400;0,786668;2,927404;289,213445;2,842171E-14;0,010122
16500;0,788325;2,934387;291,671045;4,440892E-14;0,010061
16600;0,787676;2,922524;292,252408;4,884981E-14;0,01
16700;0,796824;2,908751;290,875112;3,996803E-14;0,01
16800;0,792081;2,89739;291,473914;3,952394E-14;0,00994
16900;0,787653;2,884605;290,177502;3,819167E-14;0,009941
17000;0,78302;2,867636;290,177502;3,819167E-14;0,009882
17100;0,783684;2,85362;287,040586;3,774758E-14;0,009942
17200;0,788487;2,846274;287,975968;4,041212E-14;0,009884
17300;0,783929;2,839859;285,637015;4,218847E-14;0,009942
17400;0,78368;2,835021;286,798681;3,819167E-14;0,009885
17500;0,779202;2,818821;286,798681;3,819167E-14;0,009829
17600;0,778656;2,806687;285,535742;3,463896E-14;0,00983
17700;0,777972;2,794047;284,222072;3,863576E-14;0,009831
17800;0,773601;2,778845;284,272643;4,707346E-14;0,009775
17900;0,770429;2,764471;282,765857;4,485301E-14;0,009777
18000;0,766454;2,749418;281,19043;3,952394E-14;0,009778
18100;0,768124;2,740737;277,135957;4,307665E-14;0,00989
18200;0,770075;2,739823;277,02654;4,396483E-14;0,00989
18300;0,772014;2,737096;276,733991;3,730349E-14;0,009891
18400;0,775063;2,731644;276,166199;4,618528E-14;0,009891
18500;0,776379;2,731082;276,093039;5,551115E-14;0,009892
18600;0,774173;2,730499;274,525851;5,018208E-14;0,009946
18700;0,774557;2,72986;274,45363;5,329071E-14;0,009947
18800;0,777988;2,723838;272,383755;6,661338E-14;0,01
18900;0,781923;2,718386;271,838609;6,528111E-14;0,01
19000;0,777807;2,719059;270,482354;6,039613E-14;0,010053
19100;0,778633;2,722627;270,844621;6,972201E-14;0,010052
19200;0,779971;2,724239;272,423938;7,149836E-14;0,01
19300;0,78153;2,716344;273,049158;7,81597E-14;0,009948
19400;0,777501;2,703109;273,126603;8,171241E-14;0,009897
19500;0,774556;2,690148;270,401446;9,325873E-14;0,009949
19600;0,775974;2,679813;269,355551;8,970602E-14;0,009949
19700;0,772918;2,669201;268,28193;8,615331E-14;0,009949
19800;0,772526;2,658714;267,220988;8,65974E-14;0,009949
19900;0,781614;2,648982;264,898159;8,038015E-14;0,01
20000;0,777706;2,643259;264,325913;8,126833E-14;0,01
20100;0,797417;2,642706;264,270578;8,126833E-14;0,01
20200;0,793469;2,644022;264,402181;7,371881E-14;0,01
20300;0,78956;2,648277;263,529566;6,838974E-14;0,010049
20400;0,78569;2,664947;263,907403;7,682743E-14;0,010098
20500;0,781857;2,68643;266,047397;7,327472E-14;0,010098
20600;0,785238;2,715396;268,928659;8,21565E-14;0,010097
20700;0,781444;2,740926;272,774813;8,171241E-14;0,010048
20800;0,783381;2,762264;276,226447;8,437695E-14;0,01
20900;0,784074;2,779496;279,285879;7,638334E-14;0,009952
21000;0,786982;2,79146;281,83007;7,01661E-14;0,009905
21100;0,785705;2,800822;282,762401;4,307665E-14;0,009905
21200;0,78778;2,806495;284,677986;3,108624E-14;0,009858
21300;0,788375;2,808207;284,832383;3,996803E-14;0,009859
21400;0,794011;2,806039;285,948727;4,574119E-14;0,009813
21500;0,790318;2,804333;285,749564;3,641532E-14;0,009814
21600;0,792754;2,807091;283,33251;1,287859E-14;0,009907
21700;0,790897;2,810123;284,951734;1,776357E-14;0,009862
21800;0,790612;2,80099;285,334447;1,776357E-14;0,009817
21900;0,787002;2,7882;285,334447;1,731948E-14;0,009772
22000;0,789704;2,776221;284,078402;2,309264E-14;0,009773
22100;0,786131;2,768184;284,543519;2,309264E-14;0,009729
22200;0,782825;2,75698;283,356289;3,241851E-14;0,00973
22300;0,779315;2,744617;283,356289;3,153033E-14;0,009686
22400;0,779881;2,741215;279,105497;1,820766E-14;0,009821
22500;0,781137;2,739204;280,145878;1,598721E-14;0,009778
22600;0,785137;2,732591;279,441467;2,708944E-14;0,009779
22700;0,781679;2,72495;279,893028;1,909584E-14;0,009736
22800;0,779956;2,713657;278,69995;2,531308E-14;0,009737
22900;0,779953;2,705685;277,848403;7,54952E-15;0,009738
23000;0,776562;2,694486;277,906659;-3,55271E-15;0,009696
23100;0,782391;2,685431;276,935084;4,88498E-15;0,009697
23200;0,779019;2,682753;275,397633;1,332268E-14;0,009741
23300;0,787495;2,680423;276,344489;1,24345E-14;0,0097
23400;0,784129;2,675073;275,756458;2,531308E-14;0,009701
23500;0,780793;2,672201;276,637515;2,531308E-14;0,00966
23600;0,788319;2,663871;275,73404;4,13003E-14;0,009661
23700;0,784992;2,657808;275,065698;4,218847E-14;0,009662
23800;0,781694;2,666655;270,069691;1,287859E-14;0,009874
23900;0,782561;2,686455;273,218157;6,66134E-15;0,009833
24000;0,788153;2,69893;275,635387;7,10543E-15;0,009792
24100;0,784883;2,706129;276,346233;1,998401E-14;0,009793
24200;0,785576;2,711406;278,033992;2,087219E-14;0,009752
24300;0,782843;2,704576;278,479606;2,353673E-14;0,009712
24400;0,779635;2,693491;278,479606;2,398082E-14;0,009672
24500;0,776453;2,682497;278,479606;2,353673E-14;0,009633
24600;0,773296;2,671593;278,479606;2,309264E-14;0,009593
24700;0,780358;2,664785;277,7223;2,087219E-14;0,009595
24800;0,777211;2,658072;278,144241;2,131628E-14;0,009556
24900;0,776648;2,651178;277,371129;3,597123E-14;0,009558
25000;0,778926;2,64406;275,422917;5,062617E-14;0,0096
25100;0,776937;2,648171;272,414295;1,065814E-14;0,009721
25200;0,779457;2,657147;272,195581;2,797762E-14;0,009762
25300;0,782454;2,666799;272,056493;2,975398E-14;0,009802
25400;0,781292;2,679751;274,45841;1,598721E-14;0,009764
25500;0,782498;2,68859;273,143616;1,376677E-14;0,009843
25600;0,789018;2,697163;275,089182;2,131628E-14;0,009805
25700;0,785948;2,704082;274,683454;2,4869E-14;0,009844
25800;0,783092;2,712921;276,653619;3,68594E-14;0,009806
25900;0,786063;2,713545;276,696089;4,751755E-14;0,009807
26000;0,786505;2,709906;276,304091;4,840572E-14;0,009808
26100;0,784633;2,703585;275,638948;6,439294E-14;0,009808
26200;0,781638;2,693266;275,638948;6,394885E-14;0,009771
26300;0,783902;2,688263;274,03611;5,462297E-14;0,00981
26400;0,786409;2,691605;272,254324;4,396483E-14;0,009886
26500;0,783441;2,692769;273,403749;4,352074E-14;0,009849
26600;0,784449;2,694914;270,508387;4,92939E-14;0,009962
26700;0,791497;2,694354;270,448277;3,952394E-14;0,009963
26800;0,788543;2,696883;269,688309;4,174439E-14;0,01
26900;0,787741;2,704124;270,412389;3,108624E-14;0,01
27000;0,788022;2,704592;271,464617;2,087219E-14;0,009963
27100;0,785393;2,696427;271,647501;2,797762E-14;0,009926
27200;0,782506;2,686514;271,647501;2,797762E-14;0,00989
27300;0,783347;2,677996;270,775198;2,664535E-14;0,00989
27400;0,783058;2,672214;270,179528;3,153033E-14;0,009891
27500;0,787223;2,664293;269,367878;3,641532E-14;0,009891
27600;0,784371;2,65965;268,887681;3,508305E-14;0,009891
27700;0,78296;2,657017;268,610862;4,174439E-14;0,009892
27800;0,782938;2,649302;267,82034;3,68594E-14;0,009892
27900;0,782877;2,643884;267,262196;4,13003E-14;0,009892
28000;0,780081;2,635857;267,405803;4,485301E-14;0,009857
28100;0,795204;2,63039;265,877544;6,039613E-14;0,009893
28200;0,792384;2,630575;264,936483;5,417888E-14;0,009929
28300;0,789584;2,637781;265,655565;4,796163E-14;0,009929
28400;0,786804;2,646099;267,434925;4,751755E-14;0,009894
28500;0,784043;2,654358;269,214284;4,707346E-14;0,00986
28600;0,785347;2,664104;269,234577;4,574119E-14;0,009895
28700;0,787286;2,676599;269,538226;4,352074E-14;0,00993
28800;0,784832;2,684477;271,273506;3,952394E-14;0,009896
28900;0,786629;2,685659;272,335254;5,151435E-14;0,009862
29000;0,788135;2,686334;272,390538;5,506706E-14;0,009862
29100;0,788822;2,685793;272,322567;6,261658E-14;0,009863
29200;0,789445;2,681872;270,971126;9,769963E-14;0,009897
29300;0,787191;2,675336;270,301226;8,704149E-14;0,009898
29400;0,784853;2,666624;269,411496;8,881784E-14;0,009898
29500;0,782193;2,657585;269,411496;8,881784E-14;0,009864
29600;0,77955;2,648606;269,411496;8,837375E-14;0,009831
29700;0,776926;2,639688;269,411496;8,837375E-14;0,009798
29800;0,774319;2,63083;269,411496;8,792966E-14;0,009765
29900;0,776457;2,626593;267,12629;5,77316E-14;0,009833
30000;0,775301;2,630969;266,652284;4,041212E-14;0,009867
30100;0,775926;2,636959;266,35052;3,55271E-15;0,0099
30200;0,779866;2,642319;267,778589;-4,88498E-15;0,009868
30300;0,777292;2,646799;269,120871;-4,44089E-15;0,009835
30400;0,780346;2,653617;267,11908;-8,8818E-16;0,009934
30500;0,784134;2,667629;269,412818;1,820766E-14;0,009902
30600;0,781571;2,678519;271,399573;1,820766E-14;0,009869
30700;0,783911;2,688958;272,445574;6,66134E-15;0,00987
30800;0,781366;2,699708;274,425772;5,77316E-15;0,009838
30900;0,782187;2,711321;273,790289;-9,32587E-15;0,009903
31000;0,781986;2,725893;273,471475;-4,92939E-14;0,009968
31100;0,784095;2,735128;273,512755;-7,81597E-14;0,01
31200;0,786029;2,743183;273,441885;-6,439294E-14;0,010032
31300;0,784559;2,765093;272,16166;-5,595524E-14;0,01016
31400;0,788648;2,78514;275,01067;-3,863576E-14;0,010127
31500;0,786145;2,801851;276,671782;-3,064216E-14;0,010127
31600;0,785991;2,823396;277,941749;-8,8818E-16;0,010158
31700;0,794217;2,844924;280,074808;1,199041E-14;0,010158
31800;0,79172;2,863217;281,889486;3,9968E-15;0,010157
31900;0,789238;2,882455;284,675864;4,44089E-15;0,010125
32000;0,790433;2,903329;285,866275;1,465494E-14;0,010156
32100;0,789628;2,92036;288,441693;-7,10543E-15;0,010125
32200;0,795594;2,93046;290,340964;-9,76996E-15;0,010093
32300;0,793131;2,940321;291,326251;-1,820766E-14;0,010093
32400;0,793435;2,954661;292,755385;-1,421085E-14;0,010093
32500;0,793132;2,967342;294,020216;1,64313E-14;0,010092
32600;0,794188;2,978086;295,992679;2,664535E-14;0,010061
32700;0,794726;2,985737;297,663385;1,909584E-14;0,010031
32800;0,795939;2,98754;298,754041;1,731948E-14;0,01
32900;0,796132;2,990858;298,179456;2,531308E-14;0,01003
33000;0,797768;2,992793;299,279284;4,707346E-14;0,01
33100;0,796737;2,99271;300,17784;2,797762E-14;0,00997
33200;0,796125;2,989044;298,904432;2,753353E-14;0,01
33300;0,795538;2,981964;299,094559;3,330669E-14;0,00997
33400;0,794104;2,973984;298,291503;4,218847E-14;0,00997
33500;0,793876;2,968263;296,826327;2,620126E-14;0,01
33600;0,796326;2,965186;295,63877;3,241851E-14;0,01003
33700;0,796064;2,964906;295,613449;2,220446E-14;0,01003
33800;0,796475;2,967729;295,027159;3,28626E-14;0,010059
33900;0,797105;2,970052;295,263204;5,639933E-14;0,010059
34000;0,802043;2,967989;295,063258;3,153033E-14;0,010059
34100;0,799691;2,965151;295,648054;3,108624E-14;0,010029
34200;0,804784;2,961696;296,169606;2,264855E-14;0,01
